YTLP ,af ,RWC*TLP ,RWCTLP  ,e* ,e ,C_FT ,C_TLP ,CFT ,CTLP ,CFT.abs,LE,PLE,PMAJV,PMV,MAJV,MV, OBSERVED_LWMA,?cw
-1.257666667,66.82981667,91.70333333,73.725,11.61916667,3.822166667,0.064483333,0.1544,0.216633333,0.471383333,0.4345,7.177717809,7.853629683,10.03315954,0.455832056,8.980045957,0.411830409,109.5804805,756.5478286
-3.467,14.8379,83.36,80.46,17.016,14.491,0.0473,0.1395,0.0556,0.1638,0.0405,9.760754572,9.057426513,3.496778016,0.551756005,3.754174285,0.617670792,102.8984716,555.3899229
-2.4878,-18.989,70.93,75.772,7.7174,9.0436,0.1083,0.18006,0.0904,0.14822,0.7887,7.817166634,6.832805048,18.36809399,2.865098033,22.26477411,3.137861168,149.3410747,988.5312656
-1.458,62.48436667,90.88333333,74.98333333,12.11783333,4.689833333,0.0632,0.127633333,0.191566667,0.357366667,0.70485,10.06259075,4.83479333,6.19220632,2.324189502,12.68870353,4.727696889,213.7923133,641.0691912
-1.043833333,48.25736667,89.23666667,77.95,8.110833333,4.313333333,0.098533333,0.223816667,0.206216667,0.43595,0.906566667,9.961504988,10.23864455,5.818213189,1.994300063,6.07693215,2.082300752,149.4315095,913.3048853
-1.583666667,14.13045,83.075,79.745,8.570666667,7.462166667,0.101383333,0.324483333,0.12195,0.37445,8.351983333,9.384789142,8.978872153,5.818213189,1.994300063,6.07693215,2.082300752,133.1516741,779.2228021
-1.362219313,3.791803806,83.21747372,82.50363718,7.483530975,7.2432688,0.119050498,0.381498087,0.124764412,0.399118691,37.94561054,7.975165471,12.79910628,22.08688564,1.55840758,13.82659738,0.974603079,94.93305834,1101.930288
-2.339367479,-17.31215547,72.43423834,75.87508605,6.90648264,8.035101104,0.112706494,0.270548103,0.132222109,0.258583382,81.24197025,12.36012329,4.81864371,14.84938276,0.638578468,38.01919863,1.657282165,267.2394242,692.7893881
-2.12864106,-10.6841532,73.46450346,75.96015291,5.78483172,6.414209497,0.128845141,0.145700907,0.116580933,0.131441697,228.3206928,10.3616385,7.115545634,18.08714307,2.125773942,25.63617029,2.789449626,160.1784842,758.672667
-2.994548094,39.24232449,88.47619833,55.73162558,22.09083036,20.66753572,0.043721245,0.1004925,0.042306854,0.11193316,40.09253713,7.204646206,3.365215182,26.394616,1.027077221,56.36362548,2.159475629,228.1395597,690.4452985
-2.613325941,20.44286001,87.07601897,83.72452249,16.45239295,13.12101211,0.050618691,0.13336887,0.064416562,0.169049915,17.05825568,15.31974909,7.438360436,23.5700694,2.258935228,48.27061272,4.604904203,236.1605042,759.5893394
-2.055933863,59.84262876,90.4699974,76.36766938,14.06058322,5.613140909,0.05254893,0.082537834,0.130754768,0.20551224,5.086836676,9.612093417,5.719017275,8.464521895,1.666344188,14.01018158,2.786843783,184.1160986,812.8689415
-1.416418285,-39.69281779,75.13678697,81.92652281,4.765572486,6.476275078,0.176186755,0.622117465,0.127160799,0.441602877,56.60050517,9.58802595,6.440916268,15.34360251,1.524695201,22.89412199,2.256007423,154.9855987,667.6903165
-2.034589024,66.06554286,90.07082433,70.82869036,14.23886578,4.809363758,0.050127172,0.074260111,0.147320369,0.220918738,4.402985502,11.12701349,3.307416167,6.955546446,0.536186268,23.53011634,1.855971279,243.622131,484.7485963
-1.070071502,41.90336808,87.60172024,78.97881825,7.474882783,4.248925126,0.10848738,0.258056341,0.209995537,0.484100219,6.378305906,9.946458801,9.765995507,19.59588283,0.657646917,20.02397159,0.679699534,145.3518757,1084.566555
-3.076606857,42.92318676,86.40481825,75.19415037,15.61862386,8.976852449,0.046947389,0.082238764,0.089986876,0.146220493,37.52904273,12.0293902,6.754010147,14.29451482,1.208512063,25.1897388,2.142917508,154.974283,538.1718672
-1.984854382,72.58010614,92.51099701,72.13799326,17.57351785,4.934147194,0.040396993,0.065622033,0.168488341,0.24608573,8.560620559,13.33711367,4.129812933,10.72252099,0.550563438,34.39097605,1.754481454,277.8638828,565.167365
