"","YTLP","af","RWC.TLP","RWCTLP","e.","e","C_FT","C_TLP","CFT","CTLP","CFT.abs","LE","PLE","PMAJV","PMV","MAJV","MV"
"YTLP",0,1,1,1,1,0.0227506603984111,1,1,0.00413400927860552,5.10599126138745e-05,1,1,1,1,1,1,1
"af",0.572111822504018,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RWC.TLP",0.41000340785251,0.0145385778003765,0,1,0.302723878446421,1,0.21894434615245,1,1,1,1,1,1,1,1,1,1
"RWCTLP",0.226699925156828,0.133152495195667,0.335266791187114,0,1,1,1,1,1,1,1,1,0.176070836009727,1,1,1,1
"e.",0.0242168027176951,0.119734078483099,0.00250185023509439,0.0398117291867089,0,1,1.91028960401208e-10,0.0108429024406133,1,1,1,1,1,1,1,1,1
"e",0.000176361708514815,0.101357691945234,0.309143894839507,0.259832806389514,0.126640676114477,0,1,1,9.37745212137933e-10,0.199057996778492,1,1,1,1,1,1,1
"C_FT",0.0313985250690488,0.0590384509856915,0.00176568021090686,0.0662444612816637,1.40462470883241e-12,0.308572488855602,0,0.000522166468944824,1,1,1,1,1,1,1,1,1
"C_TLP",0.0364347387978537,0.0412888601753102,0.0286845490072253,0.0405877196151599,8.27702476382692e-05,0.780674213392083,3.92606367627687e-06,0,1,1,1,1,1,1,1,1,1
"CFT",3.13182521106479e-05,0.16078053686272,0.386748754821505,0.236464212429937,0.0797985970973395,6.94626083065135e-12,0.199010586093671,0.49503202216501,0,0.0272138595864433,1,1,1,1,1,1,1
"CTLP",3.81044123984138e-07,0.631524169859298,0.41292161321529,0.0798255188634103,0.0527465199272294,0.00159246397422794,0.0639865709193462,0.0120727082597797,0.000212608278019089,0,1,1,1,1,1,1,1
"CFT.abs",0.801382491237532,0.293378009447825,0.178148356205168,0.655463107625284,0.226407392323565,0.602855878270727,0.205338526532526,0.492573378580295,0.67329509395202,0.507525281872504,0,1,1,0.239375929619212,1,0.238997616241615,1
"LE",0.348819318710966,0.632994759560766,0.794788145216176,0.190051710657046,0.540714200613607,0.936046937837893,0.352052229352163,0.290799799548707,0.928819086671273,0.551668902256824,0.332213906257638,0,1,1,1,1,1
"PLE",0.103156522821479,0.0228360439031292,0.581383128295066,0.00139738758737879,0.0711847639085122,0.649641541174204,0.0521337858445925,0.0141688152134203,0.542839935872364,0.089018160254726,0.480362061592212,0.476160961978849,0,1,1,1,1
"PMAJV",0.737299294692082,0.29692200984643,0.209677324605389,0.469007044986471,0.487151623500151,0.26597212719485,0.346087686143143,0.544157074253032,0.324455132346249,0.367197780356151,0.00196209778376403,0.879334664584878,0.87119389289417,0,1,0.021300150697066,1
"PMV",0.827132712755758,0.217764108040099,0.217889723004386,0.318585783175072,0.218541642410867,0.597813073346408,0.152844309022752,0.338695556859224,0.597159192777189,0.633399813170383,0.474923033970611,0.875579160504006,0.308295474243552,0.489815327781651,0,1,0.0827827384442372
"MAJV",0.186957908980114,0.695393067563168,0.527535129594998,0.0978180073343423,0.639072653561013,0.282338406751449,0.674308704321895,0.354977987836041,0.293384817348198,0.0792802833499762,0.00194307005074484,0.192993501016527,0.013472039017414,0.000163847313054354,0.983563262551948,0,1
"MV",0.34666696560146,0.783015071619138,0.524822879046094,0.82583998614619,0.92577371178048,0.481465265443724,0.933705884957848,0.483734225511971,0.434847950385208,0.128599731185276,0.19468953525105,0.131159193025591,0.135629037083849,0.559704012224473,0.000651832586175096,0.0936840335142155,0
