,YTLP,af,RWC.TLP,RWCTLP,e.,e,C_FT,C_TLP,CFT,CTLP,CFT.abs,LE,PLE,PMAJV,PMV,MAJV,MV
YTLP,0,1,1,1,0.990026215,0.044744796,1,1,0.001830298,0.000241402,1,1,1,1,1,1,1
af,0.28010507,0,0.159554366,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RWC.TLP,0.489556931,0.001266304,0,1,1,1,0.148630911,1,1,1,1,1,1,1,1,1,1
RWCTLP,0.258653191,0.122612764,0.303290474,0,1,1,1,1,1,1,1,1,0.502456439,1,1,1,1
e.,0.008048994,0.157014103,0.008540219,0.018271624,0,1,8.38E-05,0.264894132,1,1,1,1,1,1,1,1,1
e,0.000344191,0.100507297,0.654314896,0.106563772,0.012477966,0,1,1,0.001283492,1,1,1,1,1,1,1,1
C_FT,0.047998708,0.063106696,0.001170322,0.076572187,6.16E-07,0.231412698,0,0.001022497,1,1,1,1,1,1,1,1,1
C_TLP,0.061402149,0.132942841,0.045617424,0.049337703,0.002119153,0.527847153,7.63E-06,0,1,1,1,1,1,1,1,1,1
CFT,1.39E-05,0.018395622,0.154517245,0.579527116,0.094756255,9.65E-06,0.517852444,0.720473488,0,0.030807974,1,1,1,1,1,1,1
CTLP,1.79E-06,0.416607482,0.446489165,0.134701079,0.024132543,0.008634198,0.066841322,0.01172968,0.000235175,0,1,1,1,1,1,1,1
CFT.abs,0.690227159,0.088049836,0.017254286,0.921180449,0.161707323,0.907304675,0.072720689,0.660820402,0.460437158,0.256684166,0,1,1,1,1,1,1
LE,0.367593085,0.831067802,0.739863441,0.253070603,0.453697987,0.830357888,0.337884446,0.37142056,0.730479819,0.290379737,0.757963592,0,1,1,1,1,1
PLE,0.157527457,0.036412186,0.711985541,0.004052068,0.062933623,0.523144964,0.127818012,0.090981763,0.564717127,0.047298868,0.823793148,0.34183964,0,1,1,1,1
PMAJV,0.545373492,0.116727237,0.250423963,0.479543723,0.95619235,0.064786979,0.409764313,0.57705315,0.115492888,0.38972527,0.174023761,0.960471526,0.890409362,0,1,0.137068662,1
PMV,0.719149389,0.168302394,0.182723544,0.266311946,0.203658337,0.995587043,0.237652778,0.622881062,0.504871956,0.628466436,0.587871634,0.859491845,0.476686676,0.572610409,0,1,0.063598052
MAJV,0.083043874,0.870648222,0.728295594,0.044238931,0.095292533,0.019953918,0.476363388,0.445216948,0.059727144,0.033521069,0.312766887,0.123035589,0.019480185,0.001070849,0.777547379,0,1
MV,0.645069316,0.952325094,0.833195299,0.887796106,0.731734091,0.704760347,0.729986558,0.477292052,0.409792308,0.171142628,0.742149991,0.138480234,0.159380512,0.647315564,0.000493008,0.224534782,0
