,YTLP,af,RWC.TLP,RWCTLP,e.,e,C_FT,C_TLP,CFT,CTLP,CFT.abs,LE,PLE,PMAJV,PMV,MAJV,MV
YTLP,0,1,1,1,1,0.00385162,1,1,0.004694378,0.000199573,1,1,1,1,1,1,1
af,0.251844417,0,0.002520504,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RWC.TLP,0.223923936,1.91E-05,0,1,1,1,0.920436143,1,1,1,1,1,1,1,1,1,1
RWCTLP,0.605966363,0.01253639,0.062677622,0,1,1,1,0.787362143,1,1,1,1,0.205308149,1,1,1,1
e.,0.043314417,0.129863426,0.014476718,0.124606394,0,1,3.87E-09,0.021184904,1,1,1,1,1,1,1,1,1
e,2.94E-05,0.009274338,0.019063465,0.450704981,0.231689605,0,1,1,1.81E-06,0.249753853,1,1,1,1,1,1,1
C_FT,0.058071925,0.038721049,0.00760691,0.040968956,2.84E-11,0.422312982,0,0.00180134,1,1,1,1,1,1,1,1,1
C_TLP,0.06589472,0.01397083,0.008575573,0.006453788,0.000165507,0.940458344,1.35E-05,0,1,1,1,1,1,1,1,1,1
CFT,3.61E-05,0.008919495,0.034507699,0.427914853,0.205246663,1.34E-08,0.400295091,0.673458998,0,0.024593759,1,1,1,1,1,1,1
CTLP,1.49E-06,0.343046653,0.400295091,0.256002607,0.058071925,0.002014144,0.07094644,0.017226739,0.000193652,0,1,1,1,1,1,1,1
CFT.abs,0.535075506,0.087804574,0.062677622,0.605966363,0.205246663,0.212591592,0.194542528,0.422312982,0.216326972,0.416749849,0,1,1,1,1,0.236777356,1
LE,0.368459655,0.498067657,0.722186091,0.992551189,0.547680585,0.940458344,0.353088659,0.102784347,0.851794399,0.47409514,0.338087648,0,1,1,1,1,1
PLE,0.138034844,0.078116713,0.368459655,0.00162943,0.187614118,0.673458998,0.102784347,0.011646731,0.837151446,0.105063949,0.405740689,0.273059897,0,1,1,0.925617112,1
PMAJV,0.566590159,0.229431984,0.233356236,0.750356005,0.550604924,0.20134434,0.402717435,0.582771555,0.212295578,0.433267183,0.009959856,0.78980641,0.848037054,0,1,0.262982024,1
PMV,0.873766741,0.133648057,0.150676993,0.152159806,0.3112502,0.433267183,0.192505433,0.408183979,0.27275325,0.416457503,0.786198469,0.951579066,0.397290445,0.550357489,0,1,0.010067056
MAJV,0.069040442,0.973916996,0.649332825,0.231388818,0.569810938,0.155155198,0.506939142,0.182240852,0.208603261,0.045607063,0.001894219,0.073378669,0.007713476,0.002138065,0.833296797,0,1
MV,0.290488414,0.877452788,0.582771555,1,0.996273274,0.352784473,0.914432551,0.436102506,0.18392582,0.069040442,0.485737806,0.5130755,0.203143384,0.430152565,7.80E-05,0.206478566,0
