,YTLP,af,RWC.TLP,RWCTLP,e.,e,C_FT,C_TLP,CFT,CTLP,CFT.abs,LE,PLE,PMAJV,PMV,MAJV,MV
YTLP,1,-0.15,-0.21,-0.31,0.54,0.79,-0.52,-0.51,-0.83,-0.91,0.07,0.24,-0.41,0.09,-0.06,0.34,0.24
af,-0.15,1,0.58,-0.38,0.39,-0.41,-0.47,-0.5,0.36,0.13,-0.27,0.12,-0.55,-0.27,-0.32,0.1,0.07
RWC.TLP,-0.21,0.58,1,-0.25,0.68,-0.26,-0.7,-0.53,0.22,0.21,-0.34,0.07,-0.14,-0.32,-0.32,-0.16,-0.17
RWCTLP,-0.31,-0.38,-0.25,1,-0.5,-0.29,0.46,0.5,0.3,0.44,-0.12,0.33,0.71,-0.19,0.26,-0.41,-0.06
e.,0.54,0.39,0.68,-0.5,1,0.39,-0.98,-0.81,-0.44,-0.48,-0.31,0.16,-0.45,-0.18,-0.31,0.12,0.02
e,0.79,-0.41,-0.26,-0.29,0.39,1,-0.26,-0.07,-0.98,-0.7,0.14,-0.02,-0.12,0.29,0.14,0.28,0.18
C_FT,-0.52,-0.47,-0.7,0.46,-0.98,-0.26,1,0.88,0.33,0.46,0.32,-0.24,0.48,0.24,0.36,-0.11,-0.02
C_TLP,-0.51,-0.5,-0.53,0.5,-0.81,-0.07,0.88,1,0.18,0.59,0.18,-0.27,0.58,0.16,0.25,-0.24,-0.18
CFT,-0.83,0.36,0.22,0.3,-0.44,-0.98,0.33,0.18,1,0.78,-0.11,0.02,0.16,-0.25,-0.14,-0.27,-0.2
CTLP,-0.91,0.13,0.21,0.44,-0.48,-0.7,0.46,0.59,0.78,1,-0.17,-0.16,0.43,-0.23,-0.12,-0.44,-0.38
CFT.abs,0.07,-0.27,-0.34,-0.12,-0.31,0.14,0.32,0.18,-0.11,-0.17,1,0.25,-0.18,0.69,0.19,0.7,0.33
LE,0.24,0.12,0.07,0.33,0.16,-0.02,-0.24,-0.27,0.02,-0.16,0.25,1,-0.19,-0.04,-0.04,0.33,0.38
PLE,-0.41,-0.55,-0.14,0.71,-0.45,-0.12,0.48,0.58,0.16,0.43,-0.18,-0.19,1,-0.04,0.26,-0.59,-0.38
PMAJV,0.09,-0.27,-0.32,-0.19,-0.18,0.29,0.24,0.16,-0.25,-0.23,0.69,-0.04,-0.04,1,0.18,0.79,0.15
PMV,-0.06,-0.32,-0.32,0.26,-0.31,0.14,0.36,0.25,-0.14,-0.12,0.19,-0.04,0.26,0.18,1,0.01,0.74
MAJV,0.34,0.1,-0.16,-0.41,0.12,0.28,-0.11,-0.24,-0.27,-0.44,0.7,0.33,-0.59,0.79,0.01,1,0.42
MV,0.24,0.07,-0.17,-0.06,0.02,0.18,-0.02,-0.18,-0.2,-0.38,0.33,0.38,-0.38,0.15,0.74,0.42,1
