,YTLP,af,RWC.TLP,RWCTLP,e.,e,C_FT,C_TLP,CFT,CTLP,CFT.abs,LE,PLE,PMAJV,PMV,MAJV,MV
YTLP,1,-0.29,-0.31,-0.13,0.5,0.84,-0.47,-0.46,-0.83,-0.89,0.16,0.23,-0.38,0.15,0.04,0.45,0.27
af,-0.29,1,0.85,-0.59,0.38,-0.61,-0.5,-0.58,0.61,0.25,-0.43,0.18,-0.44,-0.31,-0.38,0.01,-0.04
RWC.TLP,-0.31,0.85,1,-0.46,0.58,-0.56,-0.62,-0.62,0.51,0.22,-0.46,0.09,-0.23,-0.31,-0.36,-0.12,-0.14
RWCTLP,-0.13,-0.59,-0.46,1,-0.39,0.2,0.5,0.63,-0.21,0.29,0.13,0,0.7,0.08,0.36,-0.31,0
e.,0.5,0.38,0.58,-0.39,1,0.31,-0.98,-0.79,-0.32,-0.47,-0.32,0.16,-0.34,-0.16,-0.26,0.15,0
e,0.84,-0.61,-0.56,0.2,0.31,1,-0.21,-0.02,-0.94,-0.69,0.32,-0.02,-0.11,0.33,0.2,0.36,0.24
C_FT,-0.47,-0.5,-0.62,0.5,-0.98,-0.21,1,0.85,0.22,0.45,0.33,-0.24,0.41,0.22,0.33,-0.17,0.03
C_TLP,-0.46,-0.58,-0.62,0.63,-0.79,-0.02,0.85,1,0.11,0.57,0.21,-0.41,0.6,0.14,0.21,-0.34,-0.2
CFT,-0.83,0.61,0.51,-0.21,-0.32,-0.94,0.22,0.11,1,0.78,-0.32,0.05,0.05,-0.32,-0.28,-0.32,-0.34
CTLP,-0.89,0.25,0.22,0.29,-0.47,-0.69,0.45,0.57,0.78,1,-0.21,-0.19,0.41,-0.2,-0.21,-0.49,-0.45
CFT.abs,0.16,-0.43,-0.46,0.13,-0.32,0.32,0.33,0.21,-0.32,-0.21,1,0.25,-0.22,0.61,0.07,0.7,0.18
LE,0.23,0.18,0.09,0,0.16,-0.02,-0.24,-0.41,0.05,-0.19,0.25,1,-0.28,-0.07,-0.02,0.45,0.17
PLE,-0.38,-0.44,-0.23,0.7,-0.34,-0.11,0.41,0.6,0.05,0.41,-0.22,-0.28,1,-0.05,0.22,-0.62,-0.32
PMAJV,0.15,-0.31,-0.31,0.08,-0.16,0.33,0.22,0.14,-0.32,-0.2,0.61,-0.07,-0.05,1,0.16,0.69,0.2
PMV,0.04,-0.38,-0.36,0.36,-0.26,0.2,0.33,0.21,-0.28,-0.21,0.07,-0.02,0.22,0.16,1,-0.06,0.81
MAJV,0.45,0.01,-0.12,-0.31,0.15,0.36,-0.17,-0.34,-0.32,-0.49,0.7,0.45,-0.62,0.69,-0.06,1,0.32
MV,0.27,-0.04,-0.14,0,0,0.24,0.03,-0.2,-0.34,-0.45,0.18,0.17,-0.32,0.2,0.81,0.32,1
