Species,SP_CODE,Tree_name,PLOT,Level,REPS,Dendrometer,Time,Stress_Level,FW,DW,WP,LT,LWC,Y,X,DBH,Height,Year,,,,
Southern White Pine,PIST,AP-P1-T1,AP,L1,1,92246682,Pre_Dawn,9,1.87,0.83,1.509,0.133333333,0.556149733,33.9832,-109.489,153.7,21,2025,,,,
Southern White Pine,PIST,AP-P1-T1,AP,L2,1,92246682,Pre_Dawn,9,2.69,1.16,1.628,0.133333333,0.568773234,33.9832,-109.489,153.7,21,2025,,,,
Douglas Fir,PSME,AP-P2-T1,AP,L1,1,92246646,Pre_Dawn,8,NA,NA,NA,NA,NA,33.85047,-109.227,191.3,25.6,2025,,,,
Douglas Fir,PSME,AP-P2-T1,AP,L2,1,92246646,Pre_Dawn,8,NA,NA,NA,NA,NA,33.85047,-109.227,191.3,25.6,2025,,,,
White fir,ABCO,AP-P2-T2,AP,L1,1,92246647,Pre_Dawn,8,8.05,3.24,1.4,0.933333333,0.597515528,33.85135,-109.226,187.5,16.6,2025,,,,
White fir,ABCO,AP-P2-T2,AP,L2,1,92246647,Pre_Dawn,8,2.62,0.91,1.485,0.8,0.652671756,33.85135,-109.226,187.5,16.6,2025,,,,
Corkbark fir,ABLA,AP-P3-T1,AP,L1,1,92246648,Pre_Dawn,0,NA,NA,NA,NA,NA,33.86594,-109.382,NA,NA,2025,,,,
Corkbark fir,ABLA,AP-P3-T1,AP,L2,1,92246648,Pre_Dawn,0,NA,NA,NA,NA,NA,33.86594,-109.382,NA,NA,2025,,,,
Blue spruce,PIPU,AP-P3-T2,AP,L1,1,92246649,Pre_Dawn,6,1.48,0.58,1.131,0.8,0.608108108,33.86523,-109.384,90.5,17.3,2025,,,,
Blue spruce,PIPU,AP-P3-T2,AP,L2,1,92246649,Pre_Dawn,6,1.54,0.68,1.743,0.866666667,0.558441558,33.86523,-109.384,90.5,17.3,2025,,,,
Blue spruce,PIPU,AP-P3-T3,AP,L1,1,92246650,Pre_Dawn,7,2.11,0.69,1.421,1.033333333,0.672985782,33.86495,-109.385,120.3,17.7,2025,,,,
