fid,id,Tree_name,DBH,Height,Species,Stress_Ind,T_coll,H_l1,WP1,H_l2,WP2,WP-AVG,FW1,DW1,FW2,DW2,TW1,TW2,,RWC1,RWC2,FW-avg,DW-avg,TW-avg,RWC-avg
23,1,AP-P1-T1,48.8,22.04,Southwest White pine,8,,,1.493,,1.79,-1.6415,4.1379,1.7181,10.8345,5.302,5.3154,12.3538,,0.67267117,0.784551462,7.4862,3.51005,8.8346,0.728611316
25,1,AP-P1-T2,36.032679,22.67712,Corkbark fir,6,,,1.169,,1.497,-1.333,2.8235,1.41,4.3307,2.0156,3.1665,4.7804,,0.804725306,0.83734809,3.5771,1.7128,3.97345,0.821036698
30,1,AP-P2-T1,58.63,30.45,Douglas fir,6,,,2.567,,2.468,-2.5175,1.6546,0.8795,3.2456,1.7608,2.0133,4.0114,,0.68363027,0.659735182,2.4501,1.32015,3.01235,0.671682726
32,1,AP-P2-T2,54.81,15.15,White fir,6,,,1.263,,1.593,-1.428,6.2065,2.0065,8.3734,3.0797,6.7876,8.9541,,0.878458932,0.901147351,7.28995,2.5431,7.87085,0.889803142
33,1,AP-P3-T1,28.65,20.7,Corkbark fir,3,,,3.094,,2.89,-2.992,5.3099,3.0603,4.8749,3.0201,7.8313,7.1508,,0.471515406,0.44902801,5.0924,3.0402,7.49105,0.460271708
34,1,AP-P3-T2,28.97,18.35,Blue spruce,4,,,1.85,,2.951,-2.4005,5.427,2.8626,7.617,4.5884,6.6338,9.9577,,0.679995757,0.56405863,6.522,3.7255,8.29575,0.622027193
35,1,AP-P3-T3,40.17,17.74,Blue spruce,7,,,1.891,,2.048,-1.9695,1.5844,0.6611,4.1463,1.9518,1.8762,5.0682,,0.759855156,0.704177898,2.86535,1.30645,3.4722,0.732016527
20,1,ARB-P1-T1,52.044,15.1,Pinus Ponderosa,10,,,2.476,,2.952,-2.714,0.5441,0.2793,0.4926,0.2485,0.5882,0.5858,,0.857235351,0.723688111,0.51835,0.2639,0.587,0.790461731
19,1,ARB-P1-T2,31.131,15.5,Pinus Ponderosa,10,,,2.368,,1.52,-1.944,0.435,0.2065,0.4505,0.2299,0.4928,0.4809,,0.798113867,0.878884462,0.44275,0.2182,0.48685,0.838499164
6,1,ARB-P1-T3,75.28,24.6,Pinus Ponderosa,10,,,2.373,,2.246,-2.3095,0.3704,0.1778,0.2565,0.1322,0.423,0.2895,,0.78548124,0.79020979,0.31345,0.155,0.35625,0.787845515
21,1,ARB-P1-T4,48.861,23.3,Pinus Ponderosa,10,,,3.062,,2.263,-2.6625,0.4071,0.1959,0.3287,0.163,0.4543,0.3612,,0.817337461,0.836024218,0.3679,0.17945,0.40775,0.82668084
10,1,ARB-P1-T5,33.423,18.8,Pinus Ponderosa,7,,,2.759,,2.58,-2.6695,0.4127,0.2052,0.2983,0.1442,0.4364,0.3407,,0.897491349,0.784223919,0.3555,0.1747,0.38855,0.840857634
12,1,ARB-P1-T6,71.301,30.7,Pinus Ponderosa,8,,,1.967,,2.371,-2.169,0.5151,0.2609,0.5833,0.3472,0.5956,0.6395,,0.759486107,0.807731782,0.5492,0.30405,0.61755,0.783608945
3,1,BR-P1-T1,48.1,8.7,Juniper monosperm,10,,,2.46,,2.49,-2.475,6.91,3.8611,5.61,3.1908,,,,,,6.26,3.52595,,
5,1,BR-P1T-2,32.72,7.2,Juniper monosperm,10,,,2.126,,2.223,-2.1745,6.19,3.3981,2.37,1.3464,,,,,,4.28,2.37225,,
2,1,FR-P1-T1,55.59,19.3294,Pinus Ponderosa,4,,,,,,,,,,,,,,,,,,,
5,1,FR-P1-T2,57.17,23.0378,Pinus Ponderosa,10,,,,,,,,,,,,,,,,,,,
9,1,FR-P2-T1,86.01,24.8666,Pinus Ponderosa,10,1:30,22.86,1.95,15.24,1.446,-1.698,0.2871,0.1534,0.6208,0.2928,0.3269,0.6551,3:05,0.770605187,0.905327077,0.45395,0.2231,0.491,0.837966132
10,1,FR-P2-T2,76.43,23.5966,Pinus Ponderosa,8,12:40,22.86,1.842,22.86,2.293,-2.0675,0.5275,0.2835,0.4265,0.2328,0.538,0.468,3:05,0.958742633,0.823554422,0.477,0.25815,0.503,0.891148527
12,1,FR-P2-T3,98.68,26.3652,Pinus Ponderosa,1,12:15,13.1826,2.291,13.1826,2.992,-2.6415,0.5144,0.2619,0.655,0.3183,0.5476,0.6849,3:05,0.88379419,0.918439716,0.5847,0.2901,0.61625,0.901116953
14,1,FR-P3-T1,48.61,14.3764,Douglas fir,6,10:55,13.462,1.556,13.1572,1.612,-1.584,7.6503,3.1659,7.2608,3.7035,8.2279,7.4486,3:30,0.885894903,0.949854477,7.45555,3.4347,7.83825,0.91787469
13,1,FR-P3-T2,56.37,11.8872,Douglas fir,10,10:45,10.3632,1.876,9.7536,1.794,-1.835,20.129,9.392,7.9887,3.5596,21.1928,8.194,3:25,0.909853569,0.955700846,14.05885,6.4758,14.6934,0.932777208
15,1,FR-P3-T3,63.66,14.351,Southwest White pine,9,10:55,12.827,2.39,12.827,2.396,-2.393,4.9979,2.1226,1.8008,0.7617,5.586,2.0227,3:20,0.830195761,0.824028549,3.39935,1.44215,3.80435,0.827112155
17,1,FR-P4-T1,63.73,19.812,Pinus Ponderosa,4,,,,,,,,,,,,,,,,,,,
18,1,FR-P4-T2,63.73,20.9042,Pinus Ponderosa,3,,,,,,,,,,,,,,,,,,,
19,1,FR-P5-T1,48.8,25.146,Aspen,3,,,,,,,,,,,,,,,,,,,
20,1,FR-P5-T2,44.34,29.5656,Aspen,9,,,,,,,,,,,,,,,,,,,
7,1,JD_P25_T1,29.189,2.4,Juniper monosperm,5,,,,,,,,,,,,,,,,,,,
8,1,JD-P25-T2,13.051,3.42,Juniper monosperm,9,,,,,,,,,,,,,,,,,,,
9,1,JD-P25-T3,9.868,3.68,Juniper monosperm,7,,,,,,,,,,,,,,,,,,,
4,1,JD-P7-T1,23.873,3.4,Pinyon Pine,10,,,,,,,,,,,,,,,,,,,
10,1,JD-P7-T2,15.597,3.85,Juniper monosperm,10,,,,,,,,,,,,,,,,,,,
7,1,KB-P1-T1,67.83,32.126,Blue spruce,9,,,2.48,,2.938,-2.709,16.17,10.0163,11.22,7.5319,,,,,,13.695,8.7741,,
8,1,KB-P1-T2,73.18,38.07,Blue spruce,4,,,1.854,,1.76,-1.807,3.76,1.6686,7.37,3.9576,,,,,,5.565,2.8131,,
9,1,KB-P1-T3,47.56,19.751,Aspen,9,,,3.52,,3.958,-3.739,3.25,1.7209,3.57,1.5435,,,,,,3.41,1.6322,,
10,1,KB-P1-T4,31.29,17.587,Corkbark fir,5,,,1.59,,1.46,-1.525,10.01,5.1742,18.02,10.9389,,,,,,14.015,8.05655,,
11,1,KB-P2-T1,43.58,22.647,Aspen,10,,,3.186,,4.43,-3.808,2.12,1.5476,2.86,1.4933,,,,,,2.49,1.52045,,
12,1,KB-P2-T2,72.99,32.766,Engelman spruce,6,,,1.635,,1.59,-5.0975,8.56,4.9122,2.57,1.4424,,,,,,5.565,3.1773,,
13,1,KB-P2-T3,45.17,17.853,Aspen,2,,,2.67,,2.913,-2.7915,5.13,2.7812,7.31,3.6146,,,,,,6.22,3.1979,,
17,1,KB-P2-T4,16.934,16.734,Aspen,10,,,2.89,,3.05,-2.97,6.81,3.1399,2.5,0.6653,,,,,,4.655,1.9026,,
18,1,KB-P3-T1,69.65,29.87,Douglas fir,5,,,2.698,,2.463,-2.5805,3.41,1.8787,9.7,5.4364,,,,,,6.555,3.65755,,
24,1,KB-P3-T2,88.33,31.029,Douglas fir,10,,,2.768,,2.273,-2.5205,8.25,4.9437,2,1.0515,,,,,,5.125,2.9976,,
25,1,KB-P3-T3,95.5,45.537,White fir,10,,,2.32,,2.497,-2.4085,6.51,3.6277,8.56,4.8706,,,,,,7.535,4.24915,,
31,1,KB-P3-T4,68.5,18.136,Aspen,3,,,2.638,,2.69,-2.664,3.67,1.9791,2.99,1.5249,,,,,,3.33,1.752,,
19,1,LM-P1-T1,65.95,20.3454,Pinus Ponderosa,7,10:50,18.5166,1.66,18.5166,1.894,-1.777,0.4069,0.208,0.2433,0.1304,0.4455,0.2732,11:50,0.837473684,0.790616246,0.3251,0.1692,0.35935,0.814044965
21,1,LM-P1-T2,34.35,17.4752,Pinus Ponderosa,0,,,,,,,,,,,,,,,,,,,
22,1,LM-P2-T1,48.73,20.6502,Pinus Ponderosa,0,9:15,24.0792,4.9,18.288,4.186,-4.543,0.1643,0.1573,0.1083,0.1032,0.2035,0.1416,12:15,0.151515152,0.1328125,0.1363,0.13025,0.17255,0.142163826
23,1,LM-P2-T2,54.11,19.6342,Pinus Ponderosa,9,9:20,22.86,2.764,21.336,2.197,-2.4805,0.4255,0.2303,0.4996,0.2506,0.4404,0.5262,12:01,0.92908139,0.903483309,0.46255,0.24045,0.4833,0.916282349
36,1,LM-P2-T4,33.93,7.7978,Juniper Ospeosperm,6,9:50,7.7978,2.667,7.7978,2.698,-2.6825,29.3065,14.5509,13.3913,6.7447,29.4868,13.6466,12:50,0.987928414,0.963010186,21.3489,10.6478,21.5667,0.9754693
37,1,LM-P2-T5,30.14,6.7564,Gambel oak,2,9:55,2.7432,4.5,2.4384,4.684,-4.592,0.7018,0.4078,2.1136,1.2993,0.6563,2.1136,12:40,1.183098592,1,1.4077,0.85355,1.38495,1.091549296
48,1,LM-P2-T6,48.06,10.1092,Juniper Ospeosperm,4,10:18,9.4996,3.394,8.5852,2.34,-2.867,4.6914,2.6358,6.342,3.1018,5.3028,6.9401,12:20,0.770753656,0.844175807,5.5167,2.8688,6.12145,0.807464731
3,1,ML-P1-T1,64.68,19.304,White fir,6,,,1.66,,1.894,-1.777,,2.864,,4.76,,,,,,,3.812,,
1,1,ML-P1-T2,43.45,12.9794,White fir,3,,,1.895,,1.818,-1.8565,3.05,1.5621,6.08,2.0832,,,,,,4.565,1.82265,,
5,1,ML-P1-T3,45.8,9.4488,Gambel oak,8,,,2.752,,2.573,-2.6625,4.95,2.49,2.95,1.4469,,,,,,3.95,1.96845,,
4,1,ML-P1-T4,28.3,10.16,Gambel oak,9,,,2.67,,2.84,-2.755,1.24,0.62,2.37,1.1167,,,,,,1.805,0.86835,,
6,1,ML-P1-T5,45.55,20.6502,Pinus Ponderosa,2,,,,,,,,,,,,,,,,,,,
14,1,ML-P2-T1,28.71,9.6774,Pinus Ponderosa,6,9:20,9.0678,2.971,9.0678,3.049,-3.01,0.468,0.2714,0.6229,0.343,0.5096,0.6439,12:33,0.825356843,0.930209372,0.54545,0.3072,0.57675,0.877783107
16,1,ML-P2-T2,33.52,8.9408,Pinus Ponderosa,9,9:26,8.3312,2.493,8.3312,2.579,-2.536,0.5777,0.3226,0.8959,0.4925,0.593,0.9833,12:14,0.94341716,0.82192339,0.7368,0.40755,0.78815,0.882670275
33,1,LM-P2-T3,42.46,12.3952,Gambel oak,6,9:30,12.3952,3.397,11.4808,3.093,-3.245,0.8559,0.449,3.6099,1.9065,0.7676,3.5355,12:20,1.277150031,1.045672192,2.2329,1.17775,2.15155,1.161411111
17,1,ML-P2-T3,65.95,16.6878,Pinus Ponderosa,0,9:55,15.1638,,15.1638,,,0.4213,0.4051,0.285,0.2726,0.4462,0.3554,12:10,0.394160584,0.149758454,0.35315,0.33885,0.4008,0.271959519
13,1,Oscar experiment-Tree 1,,,Pinus Ponderosa,,,,,,,,,,,,,,,,,,,,
25,1,Oscar experiment-Tree 2 (65),,,Pinus Ponderosa,,,,,,,,,,,,,,,,,,,,
24,1,Oscar experiment-Tree 3 (64),,,Pinus Ponderosa,,,,,,,,,,,,,,,,,,,,
22,1,Oscar experiment-Tree1,,,Pinus Ponderosa,,,,,,,,,,,,,,,,,,,,
8,1,SB-P1-T1,79.93,37.83,White fir,5,,,2.392,,1.916,-2.154,2.8643,1.1737,9.2954,3.6696,3.1558,10.8746,,0.852933757,0.780818876,6.07985,2.42165,7.0152,0.816876316
7,1,SB-P1-T2,98.93,39.88,White fir,10,,,1.894,,2.375,-2.1345,8.6811,3.5285,2.8499,1.365,9.8114,3.2385,,0.820098999,0.792580731,5.7655,2.44675,6.52495,0.806339865
12,1,SB-P1-T3,67.74,39.62,White fir,7,,,2.397,,2.184,-2.2905,5.2232,2.5551,4.6384,2.3321,6.3345,4.8664,,0.705958618,0.910034329,4.9308,2.4436,5.60045,0.807996473
18,1,SL-P1-T1,28.97,,White fir,3,,,2.232,,2.275,-2.2535,1.3104,0.5554,2.2673,0.9591,1.4815,2.8582,,0.815246734,0.688852614,1.78885,0.75725,2.16985,0.752049674
19,1,SL-P1-T2,69.04,26.61,Douglas fir,8,,,2.593,,2.37,-2.4815,4.884,2.2636,4.7307,2.1322,5.9266,4.9751,,0.715369915,0.914031447,4.80735,2.1979,5.45085,0.814700681
14,1,TO-P1-T1,40.64,8.47,Gambel oak,8,,,3.25,,3.003,-3.1265,1.3248,0.6949,1.4799,0.7771,1.4905,1.6714,,0.791729512,0.78586604,1.40235,0.736,1.58095,0.788797776
13,1,TO-P1-T2,38.74,21.46,White fir,3,,,1.871,,2.093,-1.982,7.1966,3.0667,4.5993,2.0145,7.8889,5.1523,,0.856434822,0.823761871,5.89795,2.5406,6.5206,0.840098347
16,1,TO-P1-T3,24.92,12.71,Gambel oak,5,,,3.195,,3.521,-3.358,2.0587,1.0501,1.455,0.7421,2.346,1.703,,0.778300795,0.741908627,1.75685,0.8961,2.0245,0.760104711
