PLOT,Tree_name,DBH,Height,Species,SP_CODE,Stress_Level,REPS,Level,WP,FW,DW,TW,LWC,RWC,Time,Year,Dendrometer
AP,AP-P1-T1,48.8,22.04,Southwest White pine,PIST,8,1,L1,1.493,4.1379,1.7181,5.3154,0.584789386,0.67267117,Mid_Day,2024,92246682
AP,AP-P1-T1,48.8,22.04,Southwest White pine,PIST,8,1,L2,1.79,10.8345,5.302,12.3538,0.510637316,0.784551462,Mid_Day,2024,92246682
AP,AP-P2-T1,58.63,30.45,Douglas fir,PSME,6,1,L1,2.567,1.6546,0.8795,2.0133,0.46845159,0.68363027,Mid_Day,2024,92246646
AP,AP-P2-T1,58.63,30.45,Douglas fir,PSME,6,1,L2,2.468,3.2456,1.7608,4.0114,0.457480897,0.659735182,Mid_Day,2024,92246646
AP,AP-P2-T2,54.81,15.15,White fir,ABCO,6,1,L1,1.263,6.2065,2.0065,6.7876,0.676709901,0.878458932,Mid_Day,2024,92246647
AP,AP-P2-T2,54.81,15.15,White fir,ABCO,6,1,L2,1.593,8.3734,3.0797,8.9541,0.632204361,0.901147351,Mid_Day,2024,92246647
AP,AP-P3-T1,28.65,20.7,Corkbark fir,ABLA,3,1,L1,3.094,5.3099,3.0603,7.8313,0.423661463,0.471515406,Mid_Day,2024,92246648
AP,AP-P3-T1,28.65,20.7,Corkbark fir,ABLA,3,1,L2,2.89,4.8749,3.0201,7.1508,0.3804796,0.44902801,Mid_Day,2024,92246648
AP,AP-P3-T2,28.97,18.35,Blue spruce,PIPU,4,1,L1,1.85,5.427,2.8626,6.6338,0.472526258,0.679995757,Mid_Day,2024,92246649
AP,AP-P3-T2,28.97,18.35,Blue spruce,PIPU,4,1,L2,2.951,7.617,4.5884,9.9577,0.397610608,0.56405863,Mid_Day,2024,92246649
AP,AP-P3-T3,40.17,17.74,Blue spruce,PIPU,7,1,L1,1.891,1.5844,0.6611,1.8762,0.582744257,0.759855156,Mid_Day,2024,92246650
AP,AP-P3-T3,40.17,17.74,Blue spruce,PIPU,7,1,L2,2.048,4.1463,1.9518,5.0682,0.529267057,0.704177898,Mid_Day,2024,92246650
ARB,ARB-P1-T1,52.044,15.1,Pinus Ponderosa,PIPO,10,1,L1,2.476,0.5441,0.2793,0.5882,0.486675244,0.857235351,Mid_Day,2024,92240363
ARB,ARB-P1-T1,52.044,15.1,Pinus Ponderosa,PIPO,10,1,L2,2.952,0.4926,0.2485,0.5858,0.495533902,0.723688111,Mid_Day,2024,92240363
