"","City","Species","DBH","TF","BLVD","SidewalkDamage","trunk_shape"
"1",6,2,23,8.7,0,0,"Circular"
"2",6,2,21,6.5,8.5,0,"Circular"
"3",6,2,21,6.8,6,1,"Circular"
"4",6,2,16,6.7,6,1,"Circular"
"5",6,2,16,9,6,0,"Oval"
"6",6,2,28,12.7,9,1,"Oval"
"7",6,2,16,7.5,9,0,"Oval"
"8",6,2,14,6.8,9,0,"Egg"
"9",6,2,21,7.9,9,0,"Circular"
"10",6,2,16,5.2,9,0,"Oval"
"11",6,2,18,6.4,6.5,1,"Circular"
"12",6,2,16,5.6,6.5,1,"Circular"
"13",6,2,11,4.2,6.5,0,"Circular"
"14",6,2,6,3.1,6.5,0,"Egg"
"15",6,2,11,4,6.5,1,"Circular"
"16",6,2,17,6.2,6.5,1,"Oval"
"17",6,2,17,6.8,6.5,0,"Circular"
"18",6,2,17,5.1,10.5,0,"Circular"
"19",6,2,6,2.1,10.5,0,"Circular"
"20",6,2,25,10.9,10.5,0,"Oval"
"21",6,2,29,9.8,10.5,0,"Circular"
"22",4,2,4,1.9,11,0,"Circular"
"23",4,2,4,1.8,11,0,"Circular"
"24",6,2,18,7.4,9,1,"Egg"
"25",6,2,17,10.4,10,0,"Egg"
"26",6,2,19,7.8,10,1,"Circular"
"27",6,2,23,7.9,10,1,"Oval"
"28",6,2,26,8.6,10,0,"Circular"
"29",6,2,7,2.5,10,0,"Circular"
"30",6,2,8,2.8,10,0,"Circular"
"31",4,2,15,5.3,10,0,"Circular"
"32",4,2,8,2.7,10,0,"Circular"
"33",4,2,13,4.1,10,0,"Circular"
"34",4,2,18,6.6,0,0,"Circular"
"35",4,2,18,6.9,15.5,0,"Circular"
"36",4,2,8,2.9,9,0,"Circular"
"37",4,2,10,4.5,9,0,"Circular"
"38",4,2,26,12.8,14,0,"Circular"
"39",4,2,12,3.7,8,0,"Circular"
"40",2,2,7,2.3,7.5,0,"Circular"
"41",2,2,18,5.8,5.2,0,"Circular"
"42",2,2,22,6.5,5.2,0,"Circular"
"43",2,2,14,3.8,8.3,0,"Circular"
"44",2,2,15,5.1,9,0,"Circular"
"45",2,2,17,5.4,6.5,0,"Circular"
"46",2,2,13,4.4,6.5,0,"Oval"
"47",2,2,11,4.5,9,0,"Circular"
"48",2,2,20,6.9,9,0,"Circular"
"49",2,2,19,5.8,16.8,0,"Circular"
"50",2,2,5,2,16.8,0,"Circular"
"51",2,2,18,6.2,16.8,0,"Circular"
"52",2,2,23,6.9,16.8,0,"Circular"
"53",2,2,22,7.8,12.3,0,"Oval"
"54",2,2,22,6.3,14.3,0,"Circular"
"55",2,2,13,3.5,9,1,"Circular"
"56",2,2,5,1.6,9,0,"Circular"
"57",2,2,20,7,9,1,"Circular"
"58",2,2,28,11.8,9,0,"Oval"
"59",2,2,9,3.9,9,0,"Circular"
"60",2,2,20,7.3,9,0,"Circular"
"61",2,2,24,7.4,9,0,"Oval"
"62",2,2,9,3.9,9,0,"Oval"
"63",2,2,16,5.9,2.8,0,"Circular"
"64",2,2,10,3.5,4.2,0,"Circular"
"65",2,2,20,8.7,9,1,"Circular"
"66",2,2,25,8.6,10,1,"Circular"
"67",2,2,21,5.7,3.7,0,"Circular"
"68",2,2,14,3.8,3.5,0,"Circular"
"69",2,2,10,4.9,3.7,0,"Egg"
"70",2,2,13,4.8,10,1,"Oval"
"71",2,2,8,2.8,10,1,"Circular"
"72",2,2,9,2.9,10,0,"Circular"
"73",2,2,20,8.8,10,0,"Circular"
"74",2,2,15,5.6,4,0,"Circular"
