"","log.move","hr","Season","DayNight","Sex","Stage","julian","BearID","Year","BearIDYear"
"1",2.939161922,60,"Spring","Day","F","Fem",96,4021,2010,402110
"2",0.524728529,54,"Spring","Day","F","Fem",97,4021,2010,402110
"3",-0.59602047,34,"Spring","Day","F","Fem",99,4021,2010,402110
"4",-0.375420987,37,"Spring","Day","F","Fem",102,4021,2010,402110
"5",-0.638658995,37,"Spring","Day","F","Fem",103,4021,2010,402110
"6",0.539996001,41,"Spring","Day","F","Fem",104,4021,2010,402110
"7",1.356350485,44,"Spring","Day","F","Fem",105,4021,2010,402110
"8",3.621403289,55,"Spring","Day","F","Fem",107,4021,2010,402110
"9",4.62461981,58,"Spring","Day","F","Fem",108,4021,2010,402110
"10",1.645191082,51,"Spring","Day","F","Fem",110,4021,2010,402110
"11",1.799066044,47,"Spring","Day","F","Fem",111,4021,2010,402110
"12",1.228470276,42,"Spring","Day","F","Fem",112,4021,2010,402110
"13",2.394069783,43,"Spring","Day","F","Fem",113,4021,2010,402110
"14",1.128494663,51,"Spring","Day","F","Fem",114,4021,2010,402110
"15",0.588342066,48,"Spring","Day","F","Fem",115,4021,2010,402110
"16",1.702928256,50,"Spring","Day","F","Fem",116,4021,2010,402110
"17",1.683617311,52,"Spring","Day","F","Fem",117,4021,2010,402110
"18",2.336696623,58,"Spring","Day","F","Fem",120,4021,2010,402110
"19",2.553655047,61,"Spring","Day","F","Fem",122,4021,2010,402110
"20",1.33526419,43,"Spring","Night","F","Fem",122,4021,2010,402110
"21",2.782229599,63,"Spring","Day","F","Fem",123,4021,2010,402110
"22",2.686962749,52,"Spring","Night","F","Fem",123,4021,2010,402110
"23",2.852150545,67,"Spring","Day","F","Fem",124,4021,2010,402110
"24",0.859085258,55,"Spring","Night","F","Fem",125,4021,2010,402110
"25",2.632608006,65,"Spring","Day","F","Fem",126,4021,2010,402110
"26",1.265820208,49,"Spring","Night","F","Fem",126,4021,2010,402110
"27",2.191541794,62,"Spring","Day","F","Fem",127,4021,2010,402110
"28",2.228077041,52,"Spring","Night","F","Fem",127,4021,2010,402110
"29",3.208865892,63,"Spring","Day","F","Fem",128,4021,2010,402110
"30",2.926864394,60,"Spring","Day","F","Fem",129,4021,2010,402110
"31",1.924832423,49,"Spring","Night","F","Fem",129,4021,2010,402110
"32",0.859508718,52,"Spring","Night","F","Fem",130,4021,2010,402110
"33",3.202787093,61,"Spring","Day","F","Fem",131,4021,2010,402110
"34",1.449738534,50,"Spring","Night","F","Fem",131,4021,2010,402110
"35",2.616811721,44,"Spring","Night","F","Fem",132,4021,2010,402110
"36",4.054598378,59,"Spring","Day","F","Fem",134,4021,2010,402110
"37",3.242904803,69,"Spring","Day","F","Fem",135,4021,2010,402110
"38",2.073423469,50,"Spring","Night","F","Fem",136,4021,2010,402110
"39",2.372763928,64,"Spring","Day","F","Fem",138,4021,2010,402110
"40",2.407215342,52,"Spring","Night","F","Fem",138,4021,2010,402110
"41",1.124604869,53,"Spring","Night","F","Fem",139,4021,2010,402110
"42",4.162408113,70,"Spring","Day","F","Fem",140,4021,2010,402110
"43",2.035097728,55,"Spring","Night","F","Fem",141,4021,2010,402110
"44",5.060117282,72,"Spring","Day","F","Fem",143,4021,2010,402110
"45",0.853563902,54,"Spring","Night","F","Fem",144,4021,2010,402110
"46",0.370183294,58,"Spring","Night","F","Fem",146,4021,2010,402110
"47",3.798988677,66,"Spring","Day","F","Fem",149,4021,2010,402110
"48",2.155707897,55,"Spring","Night","F","Fem",149,4021,2010,402110
